uf,coduf,gentilico,area_km2,populacao,densidade_demografica,idh,rendimento_mensal_domiciliar_per_capita
AC,12,acriano,164123.964,894470,4.47,0.6629999999999999,890
AL,27,alagoano,27843.295,3351543,112.33,0.631,731
AP,16,amapaense,142470.762,861773,4.69,0.708,880
AM,13,amazonense,1559167.889,4207714,2.23,0.674,842
BA,29,baiano,564760.427,14930634,24.82,0.66,913
CE,23,cearense,148894.441,9187103,56.76,0.682,942
DF,53,brasiliense,5760.783,3055149,444.66,0.8240000000000001,2686
ES,32,capixaba ou esp&iacute;rito-santense,46074.447,4064052,76.25,0.74,1477
GO,52,goiano,340203.32899999997,7113540,17.65,0.735,1306
MA,21,maranhense,329642.182,7114598,19.81,0.639,636
MT,51,mato-grossense,903207.0190000001,3526220,3.36,0.725,1403
MS,50,sul-mato-grossense ou mato-grossense-do-sul,357145.534,2809394,6.86,0.7290000000000001,1514
MG,31,mineiro,586521.123,21292666,33.41,0.731,1358
PA,15,paraense,1245870.798,8690745,6.07,0.6459999999999999,807
PB,25,paraibano,56467.242,4039277,66.7,0.6579999999999999,929
PR,41,paranaense,199298.979,11516840,52.4,0.7490000000000001,1621
PE,26,pernambucano,98067.881,9616621,89.62,0.6729999999999999,970
PI,22,piauiense,251756.515,3281480,12.4,0.6459999999999999,827
RJ,33,fluminense,43750.427,17366189,365.23,0.7609999999999999,1882
RN,24,potiguar ou  norte-rio-grandense ou  rio-grandense-do-norte,52809.602,3534165,59.99,0.684,1057
RS,43,ga&uacute;cho ou sul-rio-grandense,281707.156,11422973,37.96,0.746,1843
RO,11,rondoniense ou rondoniano,237765.24,1796460,6.58,0.69,1136
RR,14,roraimense,223644.527,631181,2.01,0.7070000000000001,1044
SC,42,catarinense ou barriga-verde,95730.68400000001,7252502,65.27,0.774,1769
SP,35,paulista,248219.48100000003,46289333,166.23,0.7829999999999999,1946
SE,28,sergipano ou sergipense,21925.424,2318822,94.36,0.665,980
TO,17,tocantinense,277466.76300000004,1590248,4.98,0.6990000000000001,1056
